pathway,n_snps,expected_gbi,signed_prs,pct_total_gbi
Intergenic / Polygenic Background,39122,38.27654572949806,2.811385018508073,95.64
Lipid Metabolism,428,0.814366636767476,-0.0029304995791560057,2.03
Cell Cycle / 9p21.3,61,0.371443684652712,0.173766336764808,0.93
Vascular Remodeling,199,0.273795915542238,0.0045162262145539995,0.68
Inflammation/Immune,107,0.12522662111561,-0.002824070044593999,0.31
TGF-beta Signaling,16,0.036560676450012,-0.025642672601664,0.09
Endothelial Function,35,0.032028222814652,0.014853379786724,0.08
Angiogenesis,30,0.031646397527558,-0.004710505276726001,0.08
Metabolic Regulation,23,0.01674716392329,-0.001865999208950001,0.04
Pharmacogenomics,14,0.01593302344927,0.004341195454882,0.04
Platelet Biology,23,0.010052257616562001,0.000651415780514,0.03
Cellular Senescence,10,0.00960141105179,-0.00531538556711,0.02
Chromatin Remodeling,11,0.0057549399142940005,-0.003758185855994,0.01
