Band,n,pct,cad_prev,mean_prob,model,type
Low,3306,24.1,16.6,0.1831,Lifestyle,p_base
Moderate,4226,30.8,36.6,0.3547,Lifestyle,p_base
High,2187,15.9,61.0,0.6143,Lifestyle,p_base
Very High,4008,29.2,83.9,0.8328,Lifestyle,p_base
Low,2164,15.8,13.4,0.2105,Lifestyle,p_integrated
Moderate,5368,39.1,33.6,0.3536,Lifestyle,p_integrated
High,2770,20.2,64.4,0.626,Lifestyle,p_integrated
Very High,3425,25.0,85.0,0.7912,Lifestyle,p_integrated
Low,56,23.5,7.1,0.1712,Clinical,p_base
Moderate,50,21.0,32.0,0.3687,Clinical,p_base
High,48,20.2,62.5,0.6128,Clinical,p_base
Very High,84,35.3,90.5,0.848,Clinical,p_base
Low,38,16.0,7.9,0.1964,Clinical,p_integrated
Moderate,68,28.6,25.0,0.3574,Clinical,p_integrated
High,64,26.9,64.1,0.6307,Clinical,p_integrated
Very High,68,28.6,95.6,0.8102,Clinical,p_integrated
