gene_symbol,pathway,cytoband,n_snps,expected_gbi,signed_prs,pct_annotated_gbi,pct_total_genome_gbi,rank
CDKN2B-AS1,Cell Cycle / 9p21.3,9p21.3,61,0.371443684652712,0.173766336764808,21.31,0.93,1
LPA,Lipid Metabolism,6q26,72,0.236990193834442,0.12460431393588599,13.6,0.59,2
APOE,Lipid Metabolism,19q13.32,42,0.096881282576998,0.02233223624959,5.56,0.24,3
SORT1,Lipid Metabolism,1p13.3,40,0.088399810030574,-0.054563345869882,5.07,0.22,4
PHACTR1,Vascular Remodeling,6p24.1,24,0.0795723386556,-0.0037783046654199974,4.56,0.2,5
LDLR,Lipid Metabolism,19p13.2,30,0.076067458121656,-0.037650968587008,4.36,0.19,6
LPL,Lipid Metabolism,8p21.3,62,0.075357188878154,-0.013386539570105998,4.32,0.19,7
ADAMTS7,Vascular Remodeling,15q25.3,56,0.075348597047778,0.0068605303289739974,4.32,0.19,8
IL6R,Inflammation/Immune,1q21.3,38,0.050434020646816,-0.004885524874184,2.89,0.13,9
PCSK9,Lipid Metabolism,1p32.3,17,0.049649254542498,-0.025785434206582,2.85,0.12,10
HMGCR,Lipid Metabolism,5q13.3,38,0.046135793643198,0.008349379328190002,2.65,0.12,11
APOB,Lipid Metabolism,2p24.1,50,0.038966470692496,-0.016118025328204,2.24,0.1,12
TNS1,Vascular Remodeling,2q35,37,0.03800241927734,0.0158262078281,2.18,0.09,13
SMAD3,TGF-beta Signaling,15q22.33,16,0.036560676450012,-0.025642672601664,2.1,0.09,14
NOS3,Endothelial Function,7q36.1,35,0.032028222814652,0.014853379786724,1.84,0.08,15
SH2B3,Inflammation/Immune,12q24.12,25,0.03201522747314,0.004057140578436,1.84,0.08,16
VEGFA,Angiogenesis,6p21.1,30,0.031646397527558,-0.004710505276726001,1.82,0.08,17
ARHGEF26,Vascular Remodeling,3p25.2,16,0.029721492628682,-0.006990318010518,1.71,0.07,18
TRIB1,Lipid Metabolism,8q24.13,11,0.027408535726996003,-0.006837166864540001,1.57,0.07,19
FADS1,Lipid Metabolism,11q12.2,15,0.026839983079154,0.006615382953778001,1.54,0.07,20
LPA-SLC22A3,Lipid Metabolism,6q26,25,0.026097863150688003,0.0007641353057319993,1.5,0.07,21
TCF21,Vascular Remodeling,6q23.2,23,0.022890172493546,9.81586752899998e-05,1.31,0.06,22
PDGFD,Vascular Remodeling,11q22.3,15,0.020954397017554,-0.010588806481518,1.2,0.05,23
HNF1A,Metabolic Regulation,12q24.31,23,0.01674716392329,-0.001865999208950001,0.96,0.04,24
ABO,Inflammation/Immune,9q34.2,18,0.016228072350468,-0.000784094682764,0.93,0.04,25
PPAP2B/PLPP3,Lipid Metabolism,1p36.11,8,0.011889632487792,-0.011884645536816,0.68,0.03,26
CYP2C19,Pharmacogenomics,10q23.33,11,0.011791443470762001,0.00019961547637399948,0.68,0.03,27
CXCL12,Inflammation/Immune,10q11.21,17,0.010228042176776,0.00966197161852,0.59,0.03,28
RAP1GAP2,Platelet Biology,1q25.1,23,0.010052257616562001,0.000651415780514,0.58,0.03,29
JAK2,Inflammation/Immune,9p24.1,6,0.009619826333105999,-0.005088648889074,0.55,0.02,30
TERT,Cellular Senescence,5p15.33,10,0.00960141105179,-0.00531538556711,0.55,0.02,31
MIA3,Vascular Remodeling,1q41,28,0.007306498421738,0.003088758539646,0.42,0.02,32
ZC3HC1,Inflammation/Immune,7q32.1,3,0.006701432135303999,-0.005784913795528,0.38,0.02,33
SMARCA4,Chromatin Remodeling,19p13.2,11,0.0057549399142940005,-0.003758185855994,0.33,0.01,34
FADS2,Lipid Metabolism,11q12.2,3,0.004654536054054,0.002693798131494,0.27,0.01,35
APOC1,Lipid Metabolism,19q13.32,4,0.004447616985019999,-0.00011260249542,0.26,0.01,36
SLCO1B1,Pharmacogenomics,12p12.1,3,0.004141579978508001,0.004141579978508001,0.24,0.01,37
ANGPTL4,Lipid Metabolism,19p13.2,7,0.00269732432624,-0.001478900046552,0.15,0.01,38
TTC39B,Lipid Metabolism,2p23.3,4,0.001883692637516,-0.0004721169787159999,0.11,0.0,39
