gene_symbol,n_snps,gene_prs,avg_beta,avg_freq,gene_pct
PCSK9,2,0.6098459756129126,0.15412932436182109,0.9758724835,5.13
CDKN2B-AS1,2,0.39126991541655365,0.1485285709104074,0.7150753999999999,3.29
CDKN2B,1,0.3085197099794004,0.1545999997250954,0.99779984,2.6
LPA,3,0.3077760437946767,0.16598615445054984,0.4899329333333333,2.59
POM121L9P,1,0.28672832122022135,0.1680535849962497,0.853086,2.41
ANGPTL4,1,0.280342612307078,0.1402000003268059,0.999795334,2.36
APOE,1,0.26140545677043214,0.1368000001519904,0.9554293,2.2
LDLR,1,0.2534426549623099,0.1358999998832711,0.9324601,2.13
INTERGENIC_chr10,3,0.24968948404593083,0.06500000002799894,0.5852823333333333,2.1
ABCG8,2,0.23947816165681257,0.08531434275600915,0.57700035,2.02
PLPP3,2,0.22183437972732425,0.09512791518301016,0.49427145,1.87
SMARCA4,1,0.20362945026664359,0.131028262406404,0.7770440000000001,1.71
CELSR2,1,0.18682657970412944,0.1238999999364204,0.753941,1.57
CNNM2,1,0.18236988034025323,0.1133286853070032,0.8046059999999999,1.53
INTERGENIC_chr4,4,0.17114047726170428,0.05142499998091175,0.41001425,1.44
INTERGENIC_chr2,3,0.16765477794960326,0.0566666664237935,0.5692823333333333,1.41
COL4A2,3,0.16348686273345772,0.05638740089707376,0.47647199999999995,1.38
TGFB1,2,0.16118342703444372,0.0546500004066431,0.7158377499999999,1.36
TNS1,2,0.15409338063826847,0.04950000020579025,0.70877875,1.3
INTERGENIC_chr15,2,0.15262750294549948,0.05105000011706465,0.7102685,1.28
COL4A1,1,0.14926018668686045,0.0810999999276591,0.9202231,1.26
ARHGEF26,1,0.14765839039761677,0.0778865386570712,0.947907,1.24
PHACTR1,1,0.1391985238533599,0.0861776962410524,0.807625,1.17
FGD6,1,0.13346170896903067,0.0746999998707239,0.8933180000000001,1.12
ANKS1A,1,0.12624722210436448,0.0676586484738148,0.9329718,1.06
INTERGENIC_chr6,2,0.1217194440248325,0.046690166796035854,0.593075,1.02
SEMA5A,1,0.11732326794528933,0.0615000004430945,0.9538477,0.99
GUCY1A1,1,0.11612513044388523,0.0704584636485613,0.824068,0.98
SMAD3,1,0.11387859804902338,0.065699999797511,0.866656,0.96
MORF4L1,1,0.11236291153555553,0.0806579030174545,0.69654,0.95
APOB,1,0.11219052561324043,0.0629999997828172,0.890401,0.94
CCM2,1,0.11022614893258245,0.056699999728698,0.9720119,0.93
QARS1,1,0.10724111753488642,0.0614000001917364,0.873299,0.9
PLG,1,0.10700224927884246,0.0582689081239758,0.9181762,0.9
FOXC1,1,0.10662170619388558,0.0552999996130232,0.9640299,0.9
TDRKH,1,0.10354983648808964,0.0580000002733872,0.892671,0.87
LPL,1,0.10155342574917234,0.0632000000928348,0.803429,0.85
CDH13,1,0.09706460236929831,0.055699999982382,0.871316,0.82
PROCR,1,0.09593395234324448,0.0573000002050151,0.83712,0.81
MIA3,1,0.0935732976768097,0.0817000000670635,0.572664,0.79
C1S,1,0.09253157589975886,0.0514000003442674,0.9001126,0.78
ZC3HC1,1,0.0913520389018986,0.0548000003010775,0.833504,0.77
SERPINH1,1,0.09026440580721753,0.0529999998868051,0.851551,0.76
CYP46A1,1,0.08952994824389293,0.053900000026425,0.830519,0.75
PLEKHG1,1,0.08949813797907842,0.0536999997474418,0.833316,0.75
SLC22A2,1,0.08886148334285807,0.0582689081239758,0.762512,0.75
STAG1,1,0.08056235886921707,0.0489000000420136,0.823746,0.68
N4BP2L2,1,0.07686577021790929,0.0440999996660386,0.871494,0.65
LIPA,1,0.0753263873484057,0.0705999997641921,0.533473,0.63
KCNJ13,1,0.07474595688764119,0.0582689081239758,0.641388,0.63
DNAJC13,1,0.07447430043177128,0.0431000001341314,0.863971,0.63
INTERGENIC_chr9,2,0.07275889400714702,0.043599999695188255,0.442413,0.61
CETP,1,0.07190201686325841,0.0512932944375505,0.7008909999999999,0.61
CHRNB4,1,0.0704766132544378,0.0732504617395927,0.481066,0.59
INTERGENIC_chr1,2,0.06714911613543027,0.03904999983891975,0.48351615000000003,0.57
DAGLB,1,0.06613129621443717,0.0386000003586392,0.856623,0.56
R3HDM2,1,0.06451999115126657,0.0359999995264351,0.896111,0.54
INTERGENIC_chr18,3,0.06429093532058502,0.032833333212971334,0.33352333333333334,0.54
JCAD,1,0.06384173465504508,0.048790164169432,0.6542479999999999,0.54
INTERGENIC_chr17,2,0.06314403242206008,0.03565000004953545,0.4778655,0.53
IL6R,1,0.06263523179107125,0.0427999998572345,0.7317199999999999,0.53
INTERGENIC_chr3,2,0.06253754258146185,0.0324999997091137,0.46427450000000003,0.53
SMG6,1,0.062381348603189425,0.0530999996622285,0.587395,0.53
INTERGENIC_chr12,1,0.06200818405543909,0.0460000000411268,0.674002,0.52
KANK2,1,0.06189276275713296,0.048790164169432,0.6342749999999999,0.52
VEGFA,1,0.060752540564462235,0.0386000003586392,0.78695,0.51
RASGEF1B,1,0.060453822521547206,0.0390000003364608,0.775049,0.51
TRIB1AL,1,0.060190864250574835,0.048790164169432,0.616834,0.51
BMAL1,1,0.059513943150862315,0.04783732941416,0.622045,0.5
Y_RNA,1,0.05947101416841904,0.048790164169432,0.609457,0.5
UBE2Z,1,0.05761851057149599,0.0582689081239758,0.494419,0.48
PCNX3,1,0.056768917040347776,0.0402999997446845,0.704329,0.48
LINC00924,1,0.05589845075714983,0.037299999571038,0.749309,0.47
TSPAN14,1,0.05390311162981053,0.0434999997012558,0.619576,0.45
CALCRL-AS1,1,0.05389630058771909,0.0401999998416646,0.670352,0.45
